Designator,Mid X,Mid Y,Rotation,Layer
D1,77.1525,-66.675,0.0,top
D10,134.3025,-66.675,0.0,top
D11,134.3025,-85.725,0.0,top
D12,134.3025,-104.775,0.0,top
D13,97.79,-29.21,180.0,top
D14,97.79,-31.75,180.0,top
D15,97.79,-34.29,180.0,top
D16,97.79,-36.83,180.0,top
D2,77.1525,-85.725,0.0,top
D3,77.1525,-104.775,0.0,top
D4,96.2025,-66.675,0.0,top
D5,96.2025,-85.725,0.0,top
D6,96.2025,-104.775,0.0,top
D7,115.2525,-66.675,0.0,top
D8,115.2525,-85.725,0.0,top
D9,115.2525,-104.775,0.0,top
LED1,80.9625,-61.9125,180.0,bottom
LED10,138.1125,-100.0125,180.0,bottom
LED11,138.1125,-80.9625,180.0,bottom
LED12,138.1125,-61.9125,180.0,bottom
LED2,80.9625,-80.9625,180.0,bottom
LED3,80.9625,-100.0125,180.0,bottom
LED4,100.0125,-100.0125,180.0,bottom
LED5,100.0125,-80.9625,180.0,bottom
LED6,100.0125,-61.9125,180.0,bottom
LED7,119.0625,-100.0125,180.0,bottom
LED8,119.0625,-80.9625,180.0,bottom
LED9,119.0625,-61.9125,180.0,bottom
SW1,80.9625,-57.15,0.0,top
SW10,138.1125,-57.15,0.0,top
SW11,138.1125,-76.2,0.0,top
SW12,138.1125,-95.25,0.0,top
SW13,83.4625,-30.85,270.0,top
SW14,140.6125,-30.85,270.0,top
SW2,80.9625,-76.2,0.0,top
SW3,80.9625,-95.25,0.0,top
SW4,100.0125,-57.15,0.0,top
SW5,100.0125,-76.2,0.0,top
SW6,100.0125,-95.25,0.0,top
SW7,119.0625,-57.15,0.0,top
SW8,119.0625,-76.2,0.0,top
SW9,119.0625,-95.25,0.0,top
U1,109.5375,-35.7187,0.0,top
